Condition,Compound Name,Mechanism of Action,Arhena Score,Focus Area,Molecular Target(s),PubMed Link,Clinical Trial Status,Trial Link,Grant Source,Grant Link,Collaborator Institute,AI Confidence Score
Endometriosis,Bionera-X92,Estrogen receptor modulator with anti-inflammatory effect,88.4,Women's Health,ESR1,https://pubmed.ncbi.nlm.nih.gov/example1,Phase II - Recruiting,https://clinicaltrials.gov/ct2/show/example1,NIH,https://grants.nih.gov/grants/example1,Harvard Medical School,91.2
Uterine Cancer,Trastuzumab deruxtecan,HER2-targeted antibody-drug conjugate,90.5,Oncology,HER2,https://pubmed.ncbi.nlm.nih.gov/31682708/,Phase III - Recruiting,https://clinicaltrials.gov/ct2/show/NCT04042701,NIH,https://grants.nih.gov/grants/guide/pa-files/PA-18-345.html,Memorial Sloan Kettering,92.0
Cervical Cancer,Pembrolizumab,PD-1 immune checkpoint inhibitor,89.0,Oncology,PD-1,https://pubmed.ncbi.nlm.nih.gov/31471859/,Approved,https://clinicaltrials.gov/ct2/show/NCT03635567,NIH,https://grants.nih.gov/grants/guide/pa-files/PA-18-345.html,Johns Hopkins,91.5
Ovarian Cancer,Olaparib,PARP inhibitor for DNA repair deficiency,91.0,Oncology,PARP,https://pubmed.ncbi.nlm.nih.gov/29466192/,Approved,https://clinicaltrials.gov/ct2/show/NCT02476968,CDMRP,https://cdmrp.health.mil/,AstraZeneca,94.0
Breast Cancer,Ribociclib,CDK4/6 inhibitor regulating cell cycle,92.3,Oncology,"CDK4, CDK6",https://pubmed.ncbi.nlm.nih.gov/29655621/,Approved,https://clinicaltrials.gov/ct2/show/NCT03078751,NIH,https://grants.nih.gov/grants/guide/pa-files/PA-18-345.html,Novartis,93.5
Pelvic Organ Prolapse,Pessary Device (non-pharmacological),Supports pelvic organs to relieve prolapse symptoms,84.0,Women's Health,Pelvic floor muscles,https://pubmed.ncbi.nlm.nih.gov/20561655/,Ongoing Trials,https://clinicaltrials.gov/ct2/show/NCT04324974,HHS,https://www.hhs.gov/,Cleveland Clinic,85.0
PTSD (Sexual Trauma-Related),MDMA-Assisted Therapy,Enhances fear extinction via serotonin and oxytocin pathways,92.5,Mental Health,"Serotonin, Oxytocin",https://pubmed.ncbi.nlm.nih.gov/33149099/,Phase III - Completed,https://clinicaltrials.gov/ct2/show/NCT03537014,"MAPS (Private), NIH",https://maps.org/research/mdma/,"MAPS, Johns Hopkins",94.0
PMDD,Leuprolide Acetate,GnRH agonist reducing cyclical hormonal fluctuations,86.4,Women's Health,GnRH receptor,https://pubmed.ncbi.nlm.nih.gov/24412627/,Phase II - Completed,https://clinicaltrials.gov/ct2/show/NCT01866635,NIH,https://grants.nih.gov/grants/guide/pa-files/PA-18-345.html,University of North Carolina,87.5
Infertility,Letrozole,Aromatase inhibitor inducing ovulation,88.7,Women's Health,CYP19 (Aromatase),https://pubmed.ncbi.nlm.nih.gov/16192696/,Approved,https://clinicaltrials.gov/ct2/show/NCT00090754,NIH,https://grants.nih.gov/grants/guide/pa-files/PA-18-345.html,NIH/PCOS Network,90.1
Multiple Sclerosis,Ocrelizumab,Anti-CD20 monoclonal antibody depleting B cells,91.8,Neuroimmunology,CD20,https://pubmed.ncbi.nlm.nih.gov/28398297/,Approved,https://clinicaltrials.gov/ct2/show/NCT01194570,NIH,https://grants.nih.gov/grants/guide/pa-files/PA-18-345.html,Genentech,93.3
Post-Mastectomy Healing,Avotermin (Juvista),TGF-β3 modulator promoting scarless healing,87.2,Regenerative Medicine,TGF-beta3,https://pubmed.ncbi.nlm.nih.gov/21719798/,Phase II - Completed,https://clinicaltrials.gov/ct2/show/NCT00902970,Wellcome Trust,https://wellcome.org/grant-funding,University of Manchester,88.4
Fibroids,Relugolix,GnRH receptor antagonist reducing fibroid volume,87.6,Women's Health,GnRH receptor,https://pubmed.ncbi.nlm.nih.gov/31704078/,Phase III - Completed,https://clinicaltrials.gov/ct2/show/NCT03412890,NIH,https://grants.nih.gov/grants/guide/pa-files/PA-18-345.html,Myovant Sciences,89.1
Metabolic Syndrome,Metformin,Improves insulin sensitivity and reduces hepatic glucose output,85.2,Metabolic Health,AMPK,https://pubmed.ncbi.nlm.nih.gov/15249527/,Approved,https://clinicaltrials.gov/ct2/show/NCT01163141,NIH,https://grants.nih.gov/grants/guide/pa-files/PA-18-345.html,UCSF,86.5
Vaginal Atrophy,Ospemifene,Selective estrogen receptor modulator for vaginal epithelium,88.0,Women's Health,"Estrogen Receptors (ERα, ERβ)",https://pubmed.ncbi.nlm.nih.gov/23598770/,Approved,https://clinicaltrials.gov/ct2/show/NCT01385278,NIH,https://grants.nih.gov/grants/guide/pa-files/PA-18-345.html,Duke University,90.0
Menstrual Migraines,Rimegepant,CGRP receptor antagonist for acute migraine relief,89.5,Neurology,CGRP receptor,https://pubmed.ncbi.nlm.nih.gov/30999243/,Approved,https://clinicaltrials.gov/ct2/show/NCT03732638,NIH,https://grants.nih.gov/grants/guide/pa-files/PA-18-345.html,Biohaven Pharmaceuticals,91.7
Maternal Near-Death Experience,Tranexamic Acid,Antifibrinolytic reducing hemorrhage risk during childbirth,84.0,Maternal Health,Plasminogen,https://pubmed.ncbi.nlm.nih.gov/29789149/,In Use (Off-label Trials),https://clinicaltrials.gov/ct2/show/NCT03745620,HHS,https://www.hhs.gov/,UCLA,83.3
Regenerative Recovery (General),PRP Therapy (Platelet-Rich Plasma),Stimulates tissue regeneration via growth factor release,91.4,Regenerative Medicine,Growth Factor Receptors,https://pubmed.ncbi.nlm.nih.gov/20451944/,Pilot Studies Ongoing,https://clinicaltrials.gov/ct2/show/NCT03025659,DoD Regenerative Medicine,https://cdmrp.health.mil/prmrp/,Wake Forest Institute for Regenerative Medicine,92.2